     Alt            CO2               CO                O                N2                H2               H              Ar             He                  H2O
   406.000000       123.793137       204.629959       14838156.0       140.093948       640.695007       26603.7891       153.367447       21142.7988       145.537704    
   409.000000       129.715164       214.387192       15585790.0       146.787460       671.244812       29241.5957       160.696533       22150.9609       152.634689    
   412.000000       136.100601       224.909760       16385357.0       154.005219       704.190979       32139.0469       168.599564       23238.2012       160.279526    
   415.000000       142.697174       235.779282       17207302.0       161.461380       738.223389       35323.7305       176.763657       24361.2871       168.181412    
   418.000000       150.025101       247.857468       18114610.0       169.745132       776.039978       38826.4141       185.833786       25609.2480       176.944550    
   421.000000       157.469116       260.124817       19033878.0       178.159546       814.449036       42671.9531       195.047089       26876.7578       185.855682    
   424.000000       165.222305       272.901062       19988516.0       186.923248       854.451355       46904.2852       204.642838       28196.8418       195.139725    
   427.000000       173.193512       286.035339       20967866.0       195.933121       895.574707       51554.5664       214.508179       29553.9258       204.690292    
   430.000000       181.815887       300.244629       22024466.0       205.679504       940.063904       56656.7031       225.179886       31022.0742       215.012405    
   433.000000       191.163376       315.650635       23167590.0       216.245972       988.299927       62277.2617       236.749496       32613.8691       226.195175    
   436.000000       200.491531       331.021606       24307316.0       226.789795       1036.42627       68442.3906       248.294373       34202.0469       237.368408    
   439.000000       210.339035       347.248596       25508998.0       237.920670       1087.23303       75232.9531       260.482117       35878.6719       249.162842    
   442.000000       221.325363       365.356384       26847936.0       250.339920       1143.92834       82665.1094       274.080322       37749.6172       262.303772    
   445.000000       232.591827       383.923889       28220130.0       263.075317       1202.06299       90850.0703       288.024750       39668.0664       275.788025    
   448.000000       244.103104       402.892975       29621358.0       276.086975       1261.45520       99850.5469       302.271790       41628.0078       289.573639    
   451.000000       256.426880       423.202148       31120588.0       290.017303       1325.04297       109735.070       317.524658       43726.4102       304.326996    
   454.000000       269.223297       444.289246       32676640.0       304.481659       1391.06665       120632.773       333.362244       45905.1914       319.650879    
   457.000000       282.721313       466.533051       34317412.0       319.739166       1460.71191       132534.156       350.068359       48203.4922       335.812317    
   460.000000       297.103027       490.233643       36065020.0       335.995697       1534.91833       145673.969       367.868347       50652.3008       353.029755    
   463.000000       311.747223       514.364624       37844068.0       352.548431       1610.47217       160148.469       385.992615       53145.5820       370.571259    
   466.000000       327.635040       540.547424       39773808.0       370.507416       1692.45020       175938.797       405.656677       55850.8594       389.591278    
   469.000000       343.741486       567.087830       41729712.0       388.712891       1775.54822       193338.766       425.590668       58593.0898       408.884338    
   472.000000       360.953674       595.451416       43819576.0       408.168549       1864.35437       212504.203       446.893433       61523.6953       429.497772    
   475.000000       379.333801       625.741089       46051028.0       428.944733       1959.19092       233407.219       469.642120       64653.3086       451.503662    
   478.000000       398.238190       656.892395       48345776.0       450.312836       2056.72559       256622.578       493.039062       67871.9453       474.146851    
   481.000000       417.968475       689.404602       50740584.0       472.614532       2158.52124       281977.312       517.458191       71231.2031       497.779724    
   484.000000       439.152405       724.313599       53311676.0       496.559631       2267.82080       309870.531       543.676697       74838.1016       523.147949    
   487.000000       460.903534       760.155640       55951376.0       521.145569       2380.04224       340496.938       570.596924       78541.4062       549.202209    
   490.000000       484.952454       799.787354       58869924.0       548.329468       2504.12891       374183.312       600.361694       82636.2578       577.994568    
   493.000000       509.191040       839.728882       61811220.0       575.727112       2629.18530       411151.938       630.360657       86763.1250       607.026672    
   496.000000       534.224731       880.979370       64848836.0       604.023193       2758.34033       451730.344       661.343201       91025.2422       637.015869    
   499.000000       561.429321       925.809204       68149856.0       634.773560       2898.70215       496433.531       695.013184       95657.1875       669.596619    
   502.000000       591.109985       974.721924       71751368.0       668.323425       3051.84766       545430.188       731.748291       100710.984       705.131897    
   505.000000       621.168823       1024.25488       75398520.0       702.300110       3206.93506       599280.562       768.950745       105828.867       741.132263    
   508.000000       650.577698       1072.71204       78966472.0       735.540771       3358.65430       658483.062       805.347717       110835.594       776.375122    
   511.000000       684.299866       1128.28284       83058016.0       773.658508       3532.64600       723348.438       847.084412       116577.336       816.758423    
